hvfhs_license_num,dispatching_base_num,trip_miles,trip_time,base_passenger_fare,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID
HV0003,B02764,5.2,1200,15.50,2023-01-01 00:00:00,2023-01-01 00:20:00,3,7
HV0003,B02764,2.1,600,8.00,2023-01-01 00:10:00,2023-01-01 00:20:00,15,20
HV0005,B02510,8.5,1800,25.00,2023-01-01 01:00:00,2023-01-01 01:30:00,3,18
HV0003,B02764,1.0,300,5.00,2023-01-01 02:00:00,2023-01-01 02:05:00,10,12
HV0005,B02510,12.3,2400,35.50,2023-01-01 03:00:00,2023-01-01 03:40:00,3,50
HV0003,B02764,3.4,900,12.00,2023-01-01 04:00:00,2023-01-01 04:15:00,7,7
HV0003,B02764,0.5,180,4.50,2023-01-01 05:00:00,2023-01-01 05:03:00,15,15
HV0005,B02510,6.7,1500,19.00,2023-01-01 06:00:00,2023-01-01 06:25:00,20,3
HV0003,B02764,9.0,2100,28.00,2023-01-01 07:00:00,2023-01-01 07:35:00,3,10
HV0005,B02510,4.2,1000,14.00,2023-01-01 08:00:00,2023-01-01 08:16:40,10,20
